18:05:59.467 [ApplicationImpl pooled thread 860] INFO  c.b.l.BrowserStackRunExtension - testng
18:05:59.468 [ApplicationImpl pooled thread 860] INFO  com.browserstack.utils.Helpers - true
18:05:59.468 [ApplicationImpl pooled thread 860] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:05:59.468 [ApplicationImpl pooled thread 860] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:05:59.468 [ApplicationImpl pooled thread 860] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
18:05:59.468 [ApplicationImpl pooled thread 860] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
18:23:11.534 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - testng
18:23:11.535 [ApplicationImpl pooled thread 867] INFO  com.browserstack.utils.Helpers - true
18:23:11.536 [ApplicationImpl pooled thread 867] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:23:11.536 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:23:11.536 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
18:23:11.536 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
18:31:27.301 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - testng
18:31:27.301 [ApplicationImpl pooled thread 867] INFO  com.browserstack.utils.Helpers - true
18:31:27.301 [ApplicationImpl pooled thread 867] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:31:27.302 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:31:27.302 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
18:31:27.302 [ApplicationImpl pooled thread 867] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
18:56:19.290 [ApplicationImpl pooled thread 886] INFO  c.b.l.BrowserStackRunExtension - testng
18:56:19.291 [ApplicationImpl pooled thread 886] INFO  com.browserstack.utils.Helpers - true
18:56:19.291 [ApplicationImpl pooled thread 886] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:56:19.291 [ApplicationImpl pooled thread 886] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
18:56:19.291 [ApplicationImpl pooled thread 886] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
18:56:19.291 [ApplicationImpl pooled thread 886] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
